run_id,lambda,track_file_name,resolved_track_path,status,message,row_count,transition_count,used_count,downhill_count,uphill_count,observed_acceptance,mean_uphill_delta,median_uphill_delta,max_probability_error,probability_valid,initial_params_match,best_cost_error,initial_temp,min_temp,cooling_rate,perturbation,gen_seed
45,2,track_csv/jasminum-remote/results/45.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/45.csv,ok,,2758,2757,100,54,46,1,0.0415734952339,0.039308293379,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
46,1,track_csv/jasminum-remote/results/46.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/46.csv,ok,,2758,2757,100,49,51,1,0.0693298662502,0.0444082423895,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
47,1.25,track_csv/jasminum-remote/results/47.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/47.csv,ok,,2758,2757,100,51,49,1,0.0527403800904,0.0426942083666,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
48,1.5,track_csv/jasminum-remote/results/48.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/48.csv,ok,,2758,2757,100,49,51,1,0.0730688270919,0.0489026483384,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
49,1.75,track_csv/jasminum-remote/results/49.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/49.csv,ok,,2758,2757,100,55,45,1,0.0531392516462,0.0453268032337,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
50,2,track_csv/jasminum-remote/results/50.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/50.csv,ok,,2758,2757,100,49,51,1,0.112218840751,0.0758102422739,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
51,2,track_csv/jasminum-remote/results/51.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/51.csv,ok,,2758,2757,100,52,48,1,0.180078029427,0.0928352874189,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
52,2.25,track_csv/jasminum-remote/results/52.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/52.csv,ok,,2758,2757,100,51,49,1,0.0979949592269,0.0836833440455,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
53,2.5,track_csv/jasminum-remote/results/53.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/53.csv,ok,,2758,2757,100,53,47,1,0.0423118238348,0.0289741186928,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
54,2.75,track_csv/jasminum-remote/results/54.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/54.csv,ok,,2758,2757,100,50,50,1,0.0741279174533,0.0573661668787,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
55,3,track_csv/jasminum-remote/results/55.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/55.csv,ok,,2758,2757,100,55,45,1,0.162814498328,0.079927561867,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
