lambda,target_acceptance,valid_run_count,pooled_transition_count,pooled_empirical_t0,pooled_paper_t0,mean_run_t0,median_run_t0,sd_run_t0,min_run_t0,p10_run_t0,p90_run_t0,max_run_t0,bootstrap_mean_ci_low,bootstrap_mean_ci_high
3.25,0.99,10,1000,3.82833835188,3.88835616254,3.85366189469,3.13883692139,2.12346161813,2.08635254272,2.26852750762,5.27542147454,9.37163777896,2.84854903381,5.29516960658
3.5,0.8,10,1000,0.0923972034025,0.16983599752,0.0979000504858,0.0842634246261,0.0420700483434,0.0589589694413,0.0641273649797,0.135503180027,0.200318249491,0.0767472239129,0.124793548307
3.5,0.85,10,1000,0.143650246523,0.243287605249,0.150664798074,0.129274867137,0.065570414951,0.094634356408,0.099334919341,0.209212081599,0.311113916781,0.117025053723,0.192931606089
3.5,0.9,10,1000,0.247916047467,0.388936742516,0.256678557569,0.221528687792,0.112975350974,0.165164207813,0.169621850262,0.358047624517,0.532395192402,0.199114539939,0.33377327361
3.5,0.95,10,1000,0.568235506096,0.823839647588,0.579891594845,0.50333475051,0.256547121266,0.375260779815,0.378585186237,0.806608359352,1.19548809271,0.447656009818,0.741084847226
3.5,0.99,10,1000,3.39070734179,4.29684472662,3.75879734327,2.68046889054,2.47963084269,2.02119145238,2.04820303574,6.80496625817,9.57829979919,2.51139500931,5.39471833742
3.75,0.8,10,1000,0.0982856054482,0.128967845641,0.102625335849,0.0958955497447,0.0362557381532,0.0480418040789,0.0662766666074,0.149635124804,0.164525530805,0.0817563001644,0.124212683768
3.75,0.85,10,1000,0.152025645792,0.184122712065,0.156999992922,0.144904303047,0.0555289335354,0.0720305112232,0.105656141686,0.22983488351,0.253112421844,0.125291705867,0.191190105451
3.75,0.9,10,1000,0.260040323608,0.293569854004,0.265745532004,0.242934104442,0.0941599075187,0.119570569796,0.185425499712,0.391842854267,0.428592435125,0.211574327779,0.321691905094
3.75,0.95,10,1000,0.585471269864,0.620492129507,0.592058022985,0.536719935617,0.210648480141,0.261465350626,0.426333388186,0.882252146242,0.952417656411,0.475160394675,0.721554079655
3.75,0.99,10,1000,3.19525867677,3.23152524186,3.20267428719,2.87746491027,1.14568123721,1.39438870595,2.35725147881,4.82263614127,5.13544656938,2.53723706764,3.89822245264
4,0.8,10,1000,0.0942334901699,0.124892110737,0.102999390945,0.089040405908,0.0585481746917,0.046135688298,0.0594077505403,0.136932391059,0.256364811543,0.0753074757943,0.141434290972
4,0.85,10,1000,0.146660613171,0.179018922476,0.156818944665,0.137822613589,0.0885922575576,0.0695300620833,0.0899704426883,0.206195254929,0.388790036075,0.113542341965,0.215372210569
4,0.9,10,1000,0.252168001207,0.286333601165,0.26383782161,0.23489363062,0.14839236836,0.116405682591,0.150950001848,0.343814835163,0.652207175056,0.192639354705,0.362737031779
4,0.95,10,1000,0.570627794952,0.606749486461,0.58397606152,0.525011170611,0.327394642326,0.257268333417,0.333748763333,0.755209739515,1.44042995256,0.426464956119,0.805436754414
4,0.99,10,1000,3.12763514285,3.16543458851,3.14245724794,2.84193704471,1.75836659516,1.38506599745,1.79589136853,4.04188924173,7.74058811096,2.30903112155,4.33392279541
4.25,0.8,10,1000,0.117534150788,0.150305532522,0.120513983837,0.112896017522,0.0376175654943,0.081699213002,0.0821931497961,0.164590139896,0.196626429193,0.0999925189856,0.144191127412
4.25,0.85,10,1000,0.181409092867,0.215631140211,0.184673739475,0.172998550989,0.0559935641007,0.125925037128,0.127571439932,0.249044670945,0.298994505242,0.153745151945,0.218502066484
4.25,0.9,10,1000,0.309487391211,0.34512463247,0.31306454226,0.293030150859,0.0925900832932,0.212683497074,0.221935192689,0.418042507464,0.503662498807,0.262563051001,0.370914632072
4.25,0.95,10,1000,0.694714383636,0.731725239814,0.698668837135,0.652850793994,0.202203339417,0.472083022439,0.511386900965,0.925431403632,1.11797052102,0.590774311835,0.824630242669
4.25,0.99,10,1000,3.7807591151,3.81882928025,3.78507688442,3.53036635823,1.079369218,2.54476133942,2.84846132504,4.98612664012,6.03421085631,3.17456006374,4.45088734668
4.5,0.8,10,1000,0.100955251465,0.13853525183,0.110659318184,0.090224090312,0.0581818757619,0.0485024373219,0.0640658128915,0.15926666048,0.251468007772,0.0802792591999,0.147102473052
4.5,0.85,10,1000,0.157024831022,0.19812700893,0.169761420133,0.138702091806,0.0930017093746,0.0726846101401,0.0982414508192,0.245321362397,0.400461402949,0.123197068853,0.229215663025
4.5,0.9,10,1000,0.271125532248,0.316334709602,0.287608006616,0.235654355993,0.163307348283,0.120807911663,0.165960613928,0.416632563951,0.699661129069,0.204984133783,0.392407481621
4.5,0.95,10,1000,0.619427296759,0.669359948658,0.640374316626,0.526701811321,0.374758300497,0.264748724445,0.368036731932,0.928996679564,1.59744664182,0.457758594092,0.886709425496
4.5,0.99,10,1000,3.43465288961,3.48868651265,3.45955112233,2.85588963483,2.06637291845,1.41486195966,1.98125001434,5.0224345991,8.77499819964,2.47073645165,4.86785152093
4.75,0.8,10,1000,0.0964993526023,0.127219580904,0.101620311438,0.0791809360934,0.0494640200511,0.0558265917531,0.0624539647858,0.142820316911,0.22482541226,0.076977893604,0.133412804302
4.75,0.85,10,1000,0.148492583181,0.182393857783,0.15452693926,0.123092923205,0.0731759403349,0.0850918147459,0.0974280205754,0.214520254579,0.337516933921,0.118661944257,0.20377480624
4.75,0.9,10,1000,0.253268350023,0.291780183117,0.260740491046,0.21128351625,0.121311164602,0.142890932891,0.167728810811,0.363274069595,0.563529770183,0.200312850951,0.341808779045
4.75,0.95,10,1000,0.572156905299,0.618374010269,0.582703070125,0.475809676993,0.269424490283,0.315078898153,0.379386460957,0.842808913827,1.2430096902,0.448241167427,0.753891653791
4.75,0.99,10,1000,3.16949814159,3.22637223624,3.18637980363,2.59072869584,1.49034258864,1.68888672602,2.07496852855,4.94370674046,6.6837488974,2.41745842362,4.15108835346
5,0.8,10,1000,0.11970569676,0.163129248233,0.132211471709,0.113874144726,0.0827215865355,0.0506926577675,0.0761301664944,0.197949089287,0.345801803557,0.0933996538562,0.187498269346
5,0.85,10,1000,0.187870650292,0.233827597843,0.202081104668,0.172568799111,0.123637262441,0.0794740001269,0.116212622134,0.301881515541,0.520713199152,0.141768725519,0.286207064666
5,0.9,10,1000,0.325673107893,0.373997883665,0.341490555946,0.289265274492,0.204681776195,0.136743901384,0.197673540544,0.511932184724,0.866782250847,0.244118086232,0.480728265931
5,0.95,10,1000,0.742012747446,0.792512729656,0.759332651666,0.638031241182,0.446611151767,0.307887664088,0.445462730408,1.1465772835,1.89891231522,0.545848568682,1.0468440998
5,0.99,10,1000,4.08248744609,4.13456832229,4.10092455121,3.42364072465,2.37867836816,1.67457203755,2.44081869957,6.23801538895,10.1375359825,2.93701079147,5.65065160378
5.5,0.8,10,1000,0.10419209,0.214175685883,0.108887476289,0.0952460557185,0.0379481935907,0.0641532772768,0.0713854917842,0.165771083113,0.167532870261,0.088138820473,0.132057711504
