run_id,lambda,target_acceptance,empirical_t0,paper_t0,used_count,downhill_fraction,mean_uphill_delta,observed_acceptance,status,track_file_name
22,1.25,0.99,1.94695790047,1.96217318989,100,0.49,0.0388561843699,1,ok,track_csv/jasminum-remote/results/22.csv
23,1.5,0.8,0.10626140649,0.139376880322,100,0.51,0.0731065840195,1,ok,track_csv/jasminum-remote/results/23.csv
23,1.5,0.85,0.164867237191,0.200040029907,100,0.51,0.0731065840195,1,ok,track_csv/jasminum-remote/results/23.csv
23,1.5,0.9,0.283244349523,0.320279574882,100,0.51,0.0731065840195,1,ok,track_csv/jasminum-remote/results/23.csv
23,1.5,0.95,0.640596886929,0.679235648763,100,0.51,0.0731065840195,1,ok,track_csv/jasminum-remote/results/23.csv
23,1.5,0.99,3.50582351775,3.5455437087,100,0.51,0.0731065840195,1,ok,track_csv/jasminum-remote/results/23.csv
24,1.75,0.8,0.142750201705,0.18789319176,100,0.55,0.110441112542,1,ok,track_csv/jasminum-remote/results/24.csv
24,1.75,0.85,0.226649500775,0.272381298252,100,0.55,0.110441112542,1,ok,track_csv/jasminum-remote/results/24.csv
24,1.75,0.9,0.393514410541,0.439453927487,100,0.55,0.110441112542,1,ok,track_csv/jasminum-remote/results/24.csv
24,1.75,0.95,0.891737954065,0.937665699706,100,0.55,0.110441112542,1,ok,track_csv/jasminum-remote/results/24.csv
24,1.75,0.99,4.86859643935,4.9144226826,100,0.55,0.110441112542,1,ok,track_csv/jasminum-remote/results/24.csv
25,2,0.8,0.0718460240172,0.0912010288642,100,0.56,0.0552802089171,1,ok,track_csv/jasminum-remote/results/25.csv
25,2,0.85,0.113010231079,0.132600217119,100,0.56,0.0552802089171,1,ok,track_csv/jasminum-remote/results/25.csv
25,2,0.9,0.194674053342,0.214406391376,100,0.56,0.0552802089171,1,ok,track_csv/jasminum-remote/results/25.csv
25,2,0.95,0.438461738143,0.458270173701,100,0.56,0.0552802089171,1,ok,track_csv/jasminum-remote/results/25.csv
25,2,0.99,2.38474779948,2.40458318338,100,0.56,0.0552802089171,1,ok,track_csv/jasminum-remote/results/25.csv
26,1,0.8,0.119212400288,0.135524172793,100,0.49,0.0674691411715,1,ok,track_csv/jasminum-remote/results/26.csv
26,1,0.85,0.177271591984,0.193706128196,100,0.49,0.0674691411715,1,ok,track_csv/jasminum-remote/results/26.csv
26,1,0.9,0.292588533926,0.30913190745,100,0.49,0.0674691411715,1,ok,track_csv/jasminum-remote/results/26.csv
26,1,0.95,0.637231429836,0.653870626301,100,0.49,0.0674691411715,1,ok,track_csv/jasminum-remote/results/26.csv
26,1,0.99,3.39037299453,3.40708029104,100,0.49,0.0674691411715,1,ok,track_csv/jasminum-remote/results/26.csv
27,1.25,0.8,0.094541003094,0.130803105562,100,0.55,0.0768843211772,1,ok,track_csv/jasminum-remote/results/27.csv
27,1.25,0.85,0.14959333785,0.189620067522,100,0.55,0.0768843211772,1,ok,track_csv/jasminum-remote/results/27.csv
27,1.25,0.9,0.262122793644,0.305928798848,100,0.55,0.0768843211772,1,ok,track_csv/jasminum-remote/results/27.csv
27,1.25,0.95,0.605377777502,0.65276226537,100,0.55,0.0768843211772,1,ok,track_csv/jasminum-remote/results/27.csv
27,1.25,0.99,3.37125803624,3.42120830941,100,0.55,0.0768843211772,1,ok,track_csv/jasminum-remote/results/27.csv
28,1.5,0.8,0.0765134710529,0.0996944674816,100,0.54,0.0568801658393,1,ok,track_csv/jasminum-remote/results/28.csv
28,1.5,0.85,0.119838559106,0.14412659739,100,0.54,0.0568801658393,1,ok,track_csv/jasminum-remote/results/28.csv
28,1.5,0.9,0.206716367821,0.232047957971,100,0.54,0.0568801658393,1,ok,track_csv/jasminum-remote/results/28.csv
28,1.5,0.95,0.468043096775,0.494312132917,100,0.54,0.0568801658393,1,ok,track_csv/jasminum-remote/results/28.csv
28,1.5,0.99,2.56101567715,2.5879433662,100,0.54,0.0568801658393,1,ok,track_csv/jasminum-remote/results/28.csv
29,1.75,0.8,0.0849891520781,0.115450021982,100,0.54,0.065869416452,1,ok,track_csv/jasminum-remote/results/29.csv
29,1.75,0.85,0.135243176149,0.166904134776,100,0.54,0.065869416452,1,ok,track_csv/jasminum-remote/results/29.csv
29,1.75,0.9,0.23594627047,0.268720446835,100,0.54,0.065869416452,1,ok,track_csv/jasminum-remote/results/29.csv
29,1.75,0.95,0.53867445607,0.572432433344,100,0.54,0.065869416452,1,ok,track_csv/jasminum-remote/results/29.csv
29,1.75,0.99,2.96249936935,2.99693780472,100,0.54,0.065869416452,1,ok,track_csv/jasminum-remote/results/29.csv
30,2,0.8,0.0811556554902,0.102293246482,100,0.49,0.050925509048,1,ok,track_csv/jasminum-remote/results/30.csv
30,2,0.85,0.12372707074,0.146208815065,100,0.49,0.050925509048,1,ok,track_csv/jasminum-remote/results/30.csv
30,2,0.9,0.209425853646,0.233331853297,100,0.49,0.050925509048,1,ok,track_csv/jasminum-remote/results/30.csv
30,2,0.95,0.468196309683,0.493539622971,100,0.49,0.050925509048,1,ok,track_csv/jasminum-remote/results/30.csv
30,2,0.99,2.54519948189,2.57165416924,100,0.49,0.050925509048,1,ok,track_csv/jasminum-remote/results/30.csv
31,1,0.8,0.209752442643,0.231402427346,100,0.48,0.112347687067,1,ok,track_csv/jasminum-remote/results/31.csv
31,1,0.85,0.308656368375,0.330118037208,100,0.48,0.112347687067,1,ok,track_csv/jasminum-remote/results/31.csv
31,1,0.9,0.504747462516,0.526036101336,100,0.48,0.112347687067,1,ok,track_csv/jasminum-remote/results/31.csv
31,1,0.95,1.09016643502,1.11129577024,100,0.48,0.112347687067,1,ok,track_csv/jasminum-remote/results/31.csv
31,1,0.99,5.76471337369,5.78572408701,100,0.48,0.112347687067,1,ok,track_csv/jasminum-remote/results/31.csv
32,1.25,0.8,0.0889968075648,0.109908875634,100,0.45,0.0496771767541,1,ok,track_csv/jasminum-remote/results/32.csv
32,1.25,0.85,0.135092338203,0.155994959078,100,0.45,0.0496771767541,1,ok,track_csv/jasminum-remote/results/32.csv
32,1.25,0.9,0.226699314889,0.24755571131,100,0.45,0.0496771767541,1,ok,track_csv/jasminum-remote/results/32.csv
32,1.25,0.95,0.500426994565,0.521215853921,100,0.45,0.0496771767541,1,ok,track_csv/jasminum-remote/results/32.csv
32,1.25,0.99,2.68660428297,2.70733017241,100,0.45,0.0496771767541,1,ok,track_csv/jasminum-remote/results/32.csv
33,1.5,0.8,0.0657659349563,0.0823032825598,100,0.46,0.0380754344457,1,ok,track_csv/jasminum-remote/results/33.csv
33,1.5,0.85,0.0997060439032,0.117003114705,100,0.46,0.0380754344457,1,ok,track_csv/jasminum-remote/results/33.csv
33,1.5,0.9,0.167894434208,0.185920279532,100,0.46,0.0380754344457,1,ok,track_csv/jasminum-remote/results/33.csv
33,1.5,0.95,0.373167544935,0.391868727295,100,0.46,0.0380754344457,1,ok,track_csv/jasminum-remote/results/33.csv
33,1.5,0.99,2.01778392059,2.03697643393,100,0.46,0.0380754344457,1,ok,track_csv/jasminum-remote/results/33.csv
34,1.75,0.8,0.150700723583,0.187294531968,100,0.49,0.0932424154129,1,ok,track_csv/jasminum-remote/results/34.csv
34,1.75,0.85,0.230128225558,0.267702048072,100,0.49,0.0932424154129,1,ok,track_csv/jasminum-remote/results/34.csv
34,1.75,0.9,0.388783879062,0.427220581607,100,0.49,0.0932424154129,1,ok,track_csv/jasminum-remote/results/34.csv
34,1.75,0.95,0.864464551748,0.903649809457,100,0.49,0.0932424154129,1,ok,track_csv/jasminum-remote/results/34.csv
34,1.75,0.99,4.66888231907,4.70858810896,100,0.49,0.0932424154129,1,ok,track_csv/jasminum-remote/results/34.csv
35,2,0.8,0.157246405285,0.195569829388,100,0.51,0.102581160741,1,ok,track_csv/jasminum-remote/results/35.csv
35,2,0.85,0.240440595679,0.280690703001,100,0.51,0.102581160741,1,ok,track_csv/jasminum-remote/results/35.csv
35,2,0.9,0.407351740701,0.449407546442,100,0.51,0.102581160741,1,ok,track_csv/jasminum-remote/results/35.csv
35,2,0.95,0.909404289943,0.953084899277,100,0.51,0.102581160741,1,ok,track_csv/jasminum-remote/results/35.csv
35,2,0.99,4.93017999474,4.97501003465,100,0.51,0.102581160741,1,ok,track_csv/jasminum-remote/results/35.csv
36,1,0.8,0.111157365437,0.133266829115,100,0.51,0.0699017126604,1,ok,track_csv/jasminum-remote/results/36.csv
36,1,0.85,0.16940321164,0.191270606863,100,0.51,0.0699017126604,1,ok,track_csv/jasminum-remote/results/36.csv
36,1,0.9,0.284622571402,0.306239049665,100,0.51,0.0699017126604,1,ok,track_csv/jasminum-remote/results/36.csv
36,1,0.95,0.628087985997,0.649459084777,100,0.51,0.0699017126604,1,ok,track_csv/jasminum-remote/results/36.csv
36,1,0.99,3.36892998313,3.39011295459,100,0.51,0.0699017126604,1,ok,track_csv/jasminum-remote/results/36.csv
37,1.25,0.8,0.0614975015079,0.0788204199883,100,0.5,0.040263490206,1,ok,track_csv/jasminum-remote/results/37.csv
37,1.25,0.85,0.0951733349453,0.112885670525,100,0.5,0.040263490206,1,ok,track_csv/jasminum-remote/results/37.csv
37,1.25,0.9,0.162448373107,0.180437615019,100,0.5,0.040263490206,1,ok,track_csv/jasminum-remote/results/37.csv
37,1.25,0.95,0.363968379146,0.382149707171,100,0.5,0.040263490206,1,ok,track_csv/jasminum-remote/results/37.csv
37,1.25,0.99,1.97468604952,1.9929749797,100,0.5,0.040263490206,1,ok,track_csv/jasminum-remote/results/37.csv
38,1.5,0.8,0.0985552249169,0.116214566883,100,0.48,0.0564230805296,1,ok,track_csv/jasminum-remote/results/38.csv
38,1.5,0.85,0.148024525928,0.165791366817,100,0.48,0.0564230805296,1,ok,track_csv/jasminum-remote/results/38.csv
38,1.5,0.9,0.246351633119,0.264185032037,100,0.48,0.0564230805296,1,ok,track_csv/jasminum-remote/results/38.csv
38,1.5,0.95,0.540244189666,0.558113231999,100,0.48,0.0564230805296,1,ok,track_csv/jasminum-remote/results/38.csv
38,1.5,0.99,2.88781665011,2.9056973455,100,0.48,0.0564230805296,1,ok,track_csv/jasminum-remote/results/38.csv
39,1.75,0.8,0.14812719186,0.190962078585,100,0.51,0.100164282702,1,ok,track_csv/jasminum-remote/results/39.csv
39,1.75,0.85,0.22885098831,0.27407744974,100,0.51,0.100164282702,1,ok,track_csv/jasminum-remote/results/39.csv
39,1.75,0.9,0.391376212949,0.438819215975,100,0.51,0.100164282702,1,ok,track_csv/jasminum-remote/results/39.csv
39,1.75,0.95,0.881208869556,0.930629606844,100,0.51,0.100164282702,1,ok,track_csv/jasminum-remote/results/39.csv
39,1.75,0.99,4.80698863761,4.85779560258,100,0.51,0.100164282702,1,ok,track_csv/jasminum-remote/results/39.csv
40,2,0.8,0.136886002865,0.171188258937,100,0.47,0.0811063183453,1,ok,track_csv/jasminum-remote/results/40.csv
40,2,0.85,0.208553256188,0.243777925127,100,0.47,0.0811063183453,1,ok,track_csv/jasminum-remote/results/40.csv
